ranking,score,aid,bvid,cid,title,uploader,play,like,coin,star,cover_url,pubtime,k,o_title
1,7.57,607798815,BV1s84y1h7wj,965203788,【孤独摇滚】究极前辈,DJGun,132732,17726,5609,6884,http://i2.hdslb.com/bfs/archive/fd38b19464d89b94463ee16647fa0120121c6cd1.jpg,2023/1/14 10:11,1,【孤独摇滚】究极前辈
2,5.32,477890506,BV16K411r7f3,970419070,【明日方舟新春会】律动之乐 - Rhodes The Rock【国际音MAD合作...,MoonTDN,66354,6124,4117,3287,http://i1.hdslb.com/bfs/archive/9d0ed4af1adfea0255e28119e0f4623024de6aba.jpg,2023/1/17 22:48,1,【明日方舟新春会】律动之乐 - Rhodes The Rock【国际音MAD合作】
3,4.23,608060847,BV1P84y187F1,972119573,电棍:creeper？♿,XBLQM,5774,751,212,355,http://i0.hdslb.com/bfs/archive/e6ea84d20776767e8da21545b620e5db885fbc6a.jpg,2023/1/19 8:23,1,电棍:creeper？♿️
4,4.03,990314726,BV1vx4y137j2,966601249,【创价学会】海蜇,阴暗处的水晶,1621,167,91,102,http://i1.hdslb.com/bfs/archive/20e7acf633e71f3d75ac15b5709ae1f6fdadab4b.jpg,2023/1/15 8:38,1,【创价学会】海蜇
5,3.71,820421474,BV1JG4y1w7TT,968645825,提 瓦 特 新 说 唱,四季映姬78,4261,433,157,107,http://i0.hdslb.com/bfs/archive/36d569f8534552668a29455d0a3895090e258a70.jpg,2023/1/16 19:03,1,提 瓦 特 新 说 唱
6,3.62,480354011,BV1nT411m7LC,965881987,【赛马娘新春会】爱马来了！! ~ Otomad Gassaku,许祭,2952,438,319,269,http://i0.hdslb.com/bfs/archive/432eda1ad8d20c330b148f009372a063cc48b2ed.jpg,2023/1/15 12:00,1,【赛马娘新春会】爱马来了！! ~ Otomad Gassaku
7,3.45,693076477,BV1W24y1a7HY,971998949,南蛮领域,屑无名QAQ,784,130,32,66,http://i2.hdslb.com/bfs/archive/70234449b267703827d778decd38da707c883bad.jpg,2023/1/19 2:16,1,南蛮领域
8,3.24,947814681,BV1XW4y137F5,966885770,【孤独摇滚】轮到虹夏妈妈来帮你洗脑了⚡,九条可怜,83649,15312,3044,5516,http://i1.hdslb.com/bfs/archive/5558c5a525fc7b65be6378466398cff4ec7f8ca9.jpg,2023/1/15 18:10,1,【孤独摇滚】轮到虹夏妈妈来帮你洗脑了⚡
9,3.15,565395957,BV1Wv4y117wh,968074412,海蜇,ProfBrian_RSY,1735,199,79,137,http://i0.hdslb.com/bfs/archive/79c273502ba9120eedefbb43584ba71ed6f25ddd.jpg,2023/1/15 23:59,1,海蜇
10,2.96,948017345,BV1xs4y1t7oM,971508747,【Minecraft】像史蒂夫一样呐,1Dot,25716,3871,870,1626,http://i1.hdslb.com/bfs/archive/e27c20ee2002103b545144484c83ee9fd90dbee8.jpg,2023/1/18 19:19,1,【Minecraft】像史蒂夫一样呐
11,2.82,947827135,BV1dW4y137qb,966392495,UDKING☆,LArk25,4192,602,227,509,http://i0.hdslb.com/bfs/archive/1d938a5690d88a3ca00380e18252782bfe279349.jpg,2023/1/15 9:22,1,UDKING☆
12,2.78,392877617,BV1hd4y1L7L9,969729205,Creeper?,调频-232,1405,201,50,72,http://i0.hdslb.com/bfs/archive/5eed22aba56c9fd3f0a26b8e440ffd0140cdc638.jpg,2023/1/17 14:58,1,Creeper?
13,2.74,350271570,BV1zR4y1Y7JX,966213448,坐久了。,无核有之乡,2465,472,106,234,http://i1.hdslb.com/bfs/archive/f6df229a9006b85edd964343c6969168d47956d3.jpg,2023/1/15 1:24,1,坐久了。
14,2.69,350366793,BV1MR4y1e7wz,967206383,下雪啦，雪化啦,糊涂的白菜,600,108,35,54,http://i1.hdslb.com/bfs/archive/fc375f0c86249afc6128e7361389867e11b92dc0.jpg,2023/1/15 19:27,1,下雪啦，雪化啦
15,2.6,650213153,BV16Y4y1f75g,963195215,【彩字儿】溜冰电棍迪斯科,-ZhenXea-,3100,531,199,183,http://i0.hdslb.com/bfs/archive/5e405cd8f2d5b80b5a1b7344404bf216de78eb99.jpg,2023/1/19 12:00,1,【彩字儿】溜冰电棍迪斯科
16,2.58,650468304,BV1jY4y1Z78x,970706992,MEMEME CƟNNE✕IƟN,蛋壳Rankaku,942,125,38,95,http://i1.hdslb.com/bfs/archive/c8bb9e7e326e7da4de7fb1ae590c5608fef34e5e.jpg,2023/1/18 9:05,1,MEMEME CƟNNE✕IƟN
